uid,u_cat_01,u_cat_02,u_cat_03,u_cat_04,u_cat_05,u_cat_06,u_cat_07,u_cat_08
u000001,6,2,4,31,5,3,2,2
u000002,6,2,2,15,5,3,4,1
u000003,64,2,6,15,5,3,2,2
u000004,10,1,2,16,6,3,4,1
u000005,20,1,2,26,3,3,0,2
u000006,13,1,6,5,1,3,2,1
u000007,6,2,1,0,0,3,4,2
u000008,3,2,2,15,5,3,0,1
u000009,13,1,1,30,1,3,0,1
u000010,53,1,2,12,1,3,2,2
u000011,20,2,2,15,5,3,2,2
u000012,17,2,1,16,6,3,0,1
u000013,35,1,1,26,1,3,2,1
u000014,3,1,4,12,2,3,0,2
u000015,29,2,5,26,2,3,0,2
u000016,17,2,2,29,1,3,0,1
u000017,27,1,6,0,0,3,0,1
u000018,54,2,5,29,6,3,0,1
u000019,35,2,1,15,5,3,2,2
u000020,3,1,6,4,4,3,2,1
u000021,52,1,4,28,3,3,0,1
u000022,35,2,1,31,2,3,0,1
u000023,35,2,2,15,5,3,0,1
u000024,35,1,6,19,6,3,2,2
u000025,20,2,3,0,0,3,2,1
u000026,64,1,6,28,3,3,0,2
u000027,54,1,6,16,3,3,3,2
u000028,35,1,1,30,2,2,2,1
u000029,20,2,6,22,1,3,0,2
u000030,35,1,3,1,1,3,0,1
u000031,35,2,1,5,1,3,2,2
u000032,35,1,1,19,6,3,2,2
u000033,6,1,4,15,5,3,0,1
u000034,53,2,6,0,0,3,0,2
u000035,17,2,1,10,5,3,4,1
u000036,9,2,2,22,2,3,0,2
u000037,35,1,5,4,6,3,2,1
u000038,13,2,2,31,1,3,2,1
u000039,54,2,1,21,6,3,0,1
u000040,64,2,2,7,6,3,2,1
u000041,54,2,2,19,4,3,4,1
u000042,35,2,4,15,5,3,2,2
u000043,64,1,4,22,2,3,0,1
u000044,20,2,3,25,3,3,0,1
u000045,35,2,1,0,0,3,0,2
u000046,53,1,2,11,4,3,2,1
u000047,9,2,1,16,6,3,0,2
u000048,64,1,1,5,2,3,2,1
u000049,64,2,1,30,2,3,0,2
u000050,6,2,1,20,1,3,2,1
u000051,6,2,6,28,6,3,3,1
u000052,64,1,2,9,3,3,2,2
u000053,58,1,2,26,2,3,0,1
u000054,53,1,1,5,2,3,2,1
u000055,64,2,1,10,5,3,0,2
u000056,13,2,5,28,3,3,2,1
u000057,9,2,1,31,5,3,0,2
u000058,3,1,2,0,0,1,2,1
u000059,20,2,1,30,6,3,0,1
u000060,13,2,6,15,5,3,4,2
u000061,64,2,1,15,5,3,2,2
u000062,3,1,4,27,6,3,3,2
u000063,9,2,2,12,1,3,0,2
u000064,58,1,2,11,1,3,0,1
u000065,53,1,1,0,0,3,0,2
u000066,53,1,3,30,1,3,2,1
u000067,13,2,3,0,0,3,2,2
u000068,6,1,1,22,2,3,0,1
u000069,35,1,1,25,3,3,4,2
u000070,6,2,1,22,3,3,2,1
u000071,9,2,2,0,0,3,0,1
u000072,17,2,6,23,6,3,0,1
u000073,59,1,4,7,6,3,3,2
u000074,35,2,3,14,0,3,5,2
u000075,6,2,3,20,6,3,2,1
u000076,6,2,2,21,6,3,0,1
u000077,64,2,5,28,3,3,4,1
u000078,64,1,6,9,6,3,0,2
u000079,3,1,2,20,4,3,2,1
u000080,41,2,4,0,0,3,2,2
u000081,35,1,3,23,6,3,2,1
u000082,35,2,1,15,5,3,0,2
u000083,35,2,1,15,5,3,0,2
u000084,35,1,6,9,6,3,0,2
u000085,11,2,4,19,6,3,0,1
u000086,3,2,4,28,6,3,2,2
u000087,53,1,2,28,6,3,0,2
u000088,6,2,4,16,6,3,4,1
u000089,20,1,1,9,6,3,0,2
u000090,48,2,3,31,5,2,2,2
u000091,48,1,6,28,6,3,1,1
u000092,64,2,4,12,3,3,2,1
u000093,20,2,6,15,5,3,0,2
u000094,3,1,1,16,6,3,2,1
u000095,10,1,1,19,2,3,2,1
u000096,40,2,2,16,6,3,1,2
u000097,17,2,4,26,3,3,0,1
u000098,20,1,6,9,2,3,2,1
u000099,64,1,6,28,1,3,4,2
u000100,8,2,2,26,3,3,1,1
u000101,22,1,1,9,1,3,4,1
u000102,38,2,5,31,2,3,2,2
u000103,31,2,5,19,4,3,0,1
u000104,13,1,3,12,1,3,0,2
u000105,29,2,5,4,1,3,0,2
u000106,1,1,5,5,1,3,0,2
u000107,18,2,5,31,2,2,1,1
u000108,46,2,3,12,1,3,4,1
u000109,56,1,2,0,0,3,2,1
u000110,31,2,5,2,3,3,0,2
u000111,18,2,5,26,2,3,0,2
u000112,22,2,2,9,2,3,0,2
u000113,56,1,2,5,1,3,4,1
u000114,21,2,5,30,6,3,4,1
u000115,27,1,2,0,0,3,0,2
u000116,10,2,5,0,0,3,0,2
u000117,46,1,2,16,2,1,4,1
u000118,13,2,5,2,0,3,0,1
u000119,6,2,5,29,2,3,0,2
u000120,56,1,3,31,2,3,1,1
u000121,3,2,2,22,2,3,0,2
u000122,27,2,5,0,0,3,4,2
u000123,13,1,1,19,4,3,2,1
u000124,31,1,3,20,4,3,4,2
u000125,13,1,1,5,1,3,0,1
u000126,18,1,5,12,4,3,0,2
u000127,3,1,4,0,0,3,0,2
u000128,18,2,5,11,2,3,1,1
u000129,9,2,5,4,4,3,0,1
u000130,38,2,4,26,1,3,4,2
u000131,22,2,5,31,2,3,0,1
u000132,52,1,5,7,1,3,1,1
u000133,46,1,3,28,1,1,1,1
u000134,17,2,2,29,4,3,0,2
u000135,29,2,5,17,4,3,1,2
u000136,52,2,3,26,2,3,0,2
u000137,13,2,5,30,6,3,0,1
u000138,22,1,2,20,2,3,0,1
u000139,52,1,2,0,0,3,0,2
u000140,14,2,3,9,1,3,0,1
u000141,21,2,5,26,2,3,3,2
u000142,59,2,3,17,4,3,0,1
u000143,52,2,3,9,1,3,0,1
u000144,52,2,5,30,6,3,0,1
u000145,64,2,2,0,0,3,0,2
u000146,27,2,5,5,1,3,2,1
u000147,46,1,3,20,4,3,1,2
u000148,31,2,3,9,3,3,2,2
u000149,56,2,3,1,2,3,4,2
u000150,34,2,5,16,2,3,3,2
u000151,38,2,5,11,2,3,0,2
u000152,31,1,4,31,6,3,0,1
u000153,64,2,5,0,0,3,0,2
u000154,18,1,3,31,2,3,1,1
u000155,46,2,5,20,6,3,0,2
u000156,3,1,1,20,2,3,0,2
u000157,17,1,1,5,1,3,4,2
u000158,14,2,5,12,4,3,4,1
u000159,46,2,5,31,2,3,2,1
u000160,48,2,5,29,6,3,0,2
u000161,18,1,2,2,0,3,4,1
u000162,56,1,3,0,0,2,1,1
u000163,18,2,3,31,4,1,4,1
u000164,29,1,5,14,4,3,0,2
u000165,38,1,2,16,6,3,0,2
u000166,56,2,5,5,4,3,0,2
u000167,3,1,3,21,6,3,0,2
u000168,56,1,2,16,6,3,0,2
u000169,29,1,5,31,5,3,0,2
u000170,46,1,2,19,6,3,4,1
u000171,18,1,3,9,2,3,1,2
u000172,31,1,3,16,2,3,2,1
u000173,59,2,5,9,6,3,0,2
u000174,54,1,3,11,6,3,2,2
u000175,27,1,2,16,2,3,0,1
u000176,18,1,2,1,3,1,1,2
u000177,48,2,5,30,6,3,0,1
u000178,35,2,2,6,2,3,0,2
u000179,31,2,6,9,6,3,0,1
u000180,14,1,4,1,1,1,4,2
u000181,18,2,5,31,2,3,1,1
u000182,9,1,5,1,4,3,0,2
u000183,13,2,2,0,0,3,0,1
u000184,46,2,5,29,6,3,0,2
u000185,64,2,5,30,2,3,0,1
u000186,31,1,4,27,4,3,4,1
u000187,14,2,5,0,0,3,4,1
u000188,64,2,2,16,2,3,0,1
